program_name,variant_type,op_count_or_size,poly_modulus_degree,coeff_modulus_size_bits,plain_modulus_bit_size,coeff_modulus_prime_bits_csv,depth,mul_depth,ct_ct_muls,relinearizations,rotations,ct_ct_adds,pl_ct_muls,pl_ct_adds,median_execution_time_us
rotate,vector,500,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14218
rotate,vector,750,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14209
rotate,vector,1000,16384,160,18,"40,30,30,30,30",1,0,0,0,1,0,0,0,14203
rotate,vector,1,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14203
rotate,vector,10,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14202
rotate,vector,50,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14190
rotate,vector,80,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14238
rotate,vector,100,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14200
rotate,vector,250,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14188
rotate,vector,500,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14197
rotate,vector,750,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14208
rotate,vector,1000,16384,160,20,"40,30,30,30,30",1,0,0,0,1,0,0,0,14208
rotate,vector,1,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14211
rotate,vector,10,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14208
rotate,vector,50,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14205
rotate,vector,80,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14211
rotate,vector,100,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14195
rotate,vector,250,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14202
rotate,vector,500,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14195
rotate,vector,750,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14192
rotate,vector,1000,16384,160,25,"40,30,30,30,30",1,0,0,0,1,0,0,0,14181
rotate,vector,1,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19263
rotate,vector,10,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19233
rotate,vector,50,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19243
rotate,vector,80,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19249
rotate,vector,100,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19238
rotate,vector,250,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19238
rotate,vector,500,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19240
rotate,vector,750,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19245
rotate,vector,1000,16384,260,18,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19293
rotate,vector,1,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19341
rotate,vector,10,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19226
rotate,vector,50,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19230
rotate,vector,80,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19262
rotate,vector,100,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19248
rotate,vector,250,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19245
rotate,vector,500,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19275
rotate,vector,750,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19233
rotate,vector,1000,16384,260,20,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19234
rotate,vector,1,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19239
rotate,vector,10,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19257
rotate,vector,50,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19243
rotate,vector,80,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19256
rotate,vector,100,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19236
rotate,vector,250,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19246
rotate,vector,500,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19263
rotate,vector,750,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19230
rotate,vector,1000,16384,260,25,"50,40,40,40,40,50",1,0,0,0,1,0,0,0,19240
rotate,vector,1,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14213
rotate,vector,10,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14194
rotate,vector,50,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14202
rotate,vector,80,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14196
rotate,vector,100,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14208
rotate,vector,250,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14200
rotate,vector,500,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14210
rotate,vector,750,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14206
rotate,vector,1000,16384,270,18,"60,50,50,50,60",1,0,0,0,1,0,0,0,14201
rotate,vector,1,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14203
rotate,vector,10,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14201
rotate,vector,50,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14211
rotate,vector,80,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14238
rotate,vector,100,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14198
rotate,vector,250,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14220
rotate,vector,500,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14219
rotate,vector,750,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14207
rotate,vector,1000,16384,270,20,"60,50,50,50,60",1,0,0,0,1,0,0,0,14196
rotate,vector,1,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14201
rotate,vector,10,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14213
rotate,vector,50,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14204
rotate,vector,80,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14210
rotate,vector,100,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14228
rotate,vector,250,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14227
rotate,vector,500,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14222
rotate,vector,750,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14224
rotate,vector,1000,16384,270,25,"60,50,50,50,60",1,0,0,0,1,0,0,0,14210
ct_ct_add,scalar,1,4096,90,18,"30,30,30",1,0,0,0,0,1,0,0,31
ct_ct_add,scalar,10,4096,90,18,"30,30,30",10,0,0,0,0,10,0,0,308
ct_ct_add,scalar,50,4096,90,18,"30,30,30",50,0,0,0,0,50,0,0,1518
ct_ct_add,scalar,80,4096,90,18,"30,30,30",80,0,0,0,0,80,0,0,2430
ct_ct_add,scalar,100,4096,90,18,"30,30,30",100,0,0,0,0,100,0,0,3037
ct_ct_add,scalar,250,4096,90,18,"30,30,30",250,0,0,0,0,250,0,0,7594
ct_ct_add,scalar,500,4096,90,18,"30,30,30",500,0,0,0,0,500,0,0,15176
ct_ct_add,scalar,750,4096,90,18,"30,30,30",750,0,0,0,0,750,0,0,22785
ct_ct_add,scalar,1000,4096,90,18,"30,30,30",1000,0,0,0,0,1000,0,0,30367
ct_ct_add,scalar,1,4096,90,20,"30,30,30",1,0,0,0,0,1,0,0,31
ct_ct_add,scalar,10,4096,90,20,"30,30,30",10,0,0,0,0,10,0,0,303
ct_ct_add,scalar,50,4096,90,20,"30,30,30",50,0,0,0,0,50,0,0,1520
